,Date,ACB,MWG,MSN,BID,VRE,POW,PLX,HPG,VNM,VHM,TCB,HDB,VIB,VCB,VJC
91,2020-05-20,9130,27890,51670,27020,26550,9730,42440,12050,79720,56850,21050,7510,5030.0,51780,113700
92,2020-05-21,9210,28050,51670,27400,26300,9730,42580,12070,80410,57510,22000,8029,5120.0,52820,115000
93,2020-05-22,9210,27410,50210,27130,25800,9634,42030,12410,80000,56410,21050,7660,5190.0,52690,114000
94,2020-05-25,9300,27760,50050,27370,26200,9730,41990,12430,82230,56630,21050,7720,5330.0,52760,113100
95,2020-05-26,9580,27890,50620,28990,26500,10111,42480,12930,82230,56330,21150,7800,5460.0,53670,113000
96,2020-05-27,9380,27350,50620,27470,25500,9825,42480,12390,80410,55080,20900,7600,5380.0,53930,113000
97,2020-05-28,9410,27310,50860,28090,26900,9921,42390,12390,80280,55300,20900,7600,5380.0,54970,113300
98,2020-05-29,9410,27280,50780,27680,27500,9777,41800,12480,80410,56480,20700,7760,5420.0,55420,113000
99,2020-06-01,10320,27730,51100,28610,27800,9968,41940,12590,81180,58320,21300,7990,5630.0,56270,113300
100,2020-06-02,10200,27510,51750,27990,27600,10016,42030,12320,81110,57370,21150,8550,5660.0,56330,114700
101,2020-06-03,10490,27540,51830,28300,28100,10111,42300,12270,81540,57440,21350,9130,5890.0,57180,113800
102,2020-06-04,10410,27570,51420,28850,28400,10111,42720,12110,82370,57140,21200,8910,5890.0,57900,114300
103,2020-06-05,10370,27760,51010,29060,28450,10064,42580,12320,83350,57000,21450,8820,5860.0,57900,114300
104,2020-06-08,10450,29050,51340,30370,28600,10207,43480,12620,85860,57370,21700,8780,5960.0,58160,115000
105,2020-06-09,10490,28600,51010,29920,27900,10541,43120,12340,87400,57220,21550,8990,6000.0,58220,117800
106,2020-06-10,10530,28820,50940,30030,27950,10731,43210,12300,86010,57140,21850,8970,5930.0,58290,117800
107,2020-06-11,10070,26820,47370,27950,26100,10016,40220,11610,85520,56410,20900,8720,5660.0,57250,113500
108,2020-06-12,10070,27730,47370,29330,25900,9968,40950,12070,82510,55300,21150,8620,5750.0,55680,113400
109,2020-06-15,9580,26600,45670,27540,25000,10016,39860,11570,78320,51610,20100,8760,5630.0,53340,109000
110,2020-06-16,9790,27220,46650,28090,26750,10207,40130,11930,81810,55230,20600,8760,5720.0,54450,107700
111,2020-06-17,9750,27020,46570,27820,27500,10064,41440,11950,80830,56040,20300,8610,5710.0,54770,109800
112,2020-06-18,9790,27020,46160,27950,27550,9921,42300,12210,80550,56410,20200,8510,5750.0,55290,111000
113,2020-06-19,10030,27250,46160,28610,27800,9921,41680,12460,80410,56410,20500,8590,5820.0,55550,110000
114,2020-06-22,9920,27690,47210,28510,27600,10016,41680,12430,80700,57730,20750,8500,5820.0,55620,109000
115,2020-06-23,9870,27510,47290,28090,27200,10016,41900,12300,81110,57290,20650,8500,5820.0,55940,109400
116,2020-06-24,9790,27410,46320,27820,26850,9873,41580,12300,81890,55820,20500,8420,5860.0,55100,108500
117,2020-06-25,9750,26950,45910,27610,26500,9777,41540,12430,81400,55670,20200,8240,5930.0,54450,108500
118,2020-06-26,9710,27150,45670,27540,26200,9730,41490,12390,81040,55740,20350,8119,5860.0,54190,108500
119,2020-06-29,9410,26280,44620,26570,25400,9348,40310,12140,79260,54560,19650,7920,5790.0,53020,106800
120,2020-06-30,9380,26050,43810,26160,24800,9253,40310,12210,79830,55670,19550,7960,5790.0,52240,108000
121,2020-07-01,9540,26440,44950,27060,26450,9348,40860,12480,81260,56700,19800,7870,5890.0,53800,108000
122,2020-07-02,9500,26380,46320,26920,26200,9167,41210,12570,80060,56700,19750,7920,5890.0,53730,107900
123,2020-07-03,9460,26350,46320,26990,26500,9224,41630,12520,80830,57370,19800,8330,5890.0,53990,108000
124,2020-07-06,9710,26920,46650,27680,27100,9529,42030,12570,82520,59580,20250,8330,5890.0,53930,107700
125,2020-07-07,9750,26990,46160,28020,27450,9444,42130,12910,82180,59580,20250,8330,5930.0,54250,108300
126,2020-07-08,9830,26950,46160,27990,27450,9405,42130,12770,81820,59280,20100,8350,6120.0,53990,107600
127,2020-07-09,9990,27080,46490,28710,27550,9520,42170,12820,82100,59580,20950,8720,6260.0,54380,108100
128,2020-07-10,9870,26730,46080,28640,27050,9587,41990,12640,81670,58550,20450,8550,6150.0,53800,108000
129,2020-07-13,9830,26690,45830,28510,26500,9587,42030,12590,81330,58320,20300,8550,6120.0,53930,108000
130,2020-07-14,9870,26730,45350,28470,26400,9587,42030,12710,81620,59360,20100,8560,6120.0,53990,108000
131,2020-07-15,9870,27280,45110,28540,26700,9539,42080,12770,82180,59800,20600,8610,6330.0,54320,107800
132,2020-07-16,9870,27350,46160,28540,27300,9634,42440,13020,83230,60090,21000,8720,6480.0,54320,112000
133,2020-07-17,10200,27080,45520,28710,26850,9539,43030,13000,82750,59360,20600,8630,6530.0,53860,109000
134,2020-07-20,10070,26860,44540,28160,26200,9405,42030,12750,81950,58400,20500,8570,6590.0,53470,107500
135,2020-07-21,10120,26990,44290,28160,26300,9367,41580,12800,82180,58100,20500,8510,6730.0,53670,108400
136,2020-07-22,10030,26820,43900,27610,26950,9281,41040,12800,80830,57140,20250,8430,6820.0,53670,107400
137,2020-07-23,9950,26760,43650,27510,28300,9205,41680,12840,80900,58100,20300,8530,6770.0,53670,107900
138,2020-07-24,9540,25530,42110,26370,27950,8881,41120,12230,78710,56040,19500,8109,6430.0,52690,103800
139,2020-07-27,8960,23760,40080,24540,26800,8394,38280,11820,73260,52280,18150,7550,5890.0,50090,97900
140,2020-07-28,9410,24500,40900,26130,27200,8881,39490,12460,77850,55890,18750,7700,6190.0,51070,96500
141,2020-07-29,9130,23530,39970,25500,25550,8776,37640,12090,75080,54560,18150,7630,5820.0,50410,95100
142,2020-07-30,9300,23960,40330,25680,25950,8881,38230,12290,77210,56480,18600,7720,5890.0,50350,96000
143,2020-07-31,9260,24020,40900,25300,25100,8728,38230,12070,75800,57290,18150,7680,6000.0,49700,94500
144,2020-08-03,9540,24500,42600,25680,25650,8824,39630,12730,77360,57880,18600,7820,6290.0,51260,96000
145,2020-08-04,9750,24830,43730,26160,26300,8909,40310,12790,78850,58250,18850,7900,6330.0,53280,97000
146,2020-08-05,9870,25530,44540,26750,26350,9100,40270,13400,79410,58690,19450,8170,6370.0,53800,99800
147,2020-08-06,9790,25560,43650,26400,26350,9014,40400,13370,81330,58690,19200,8330,6480.0,53860,101000
148,2020-08-07,9750,25350,43810,26300,26400,8967,40400,13460,81820,58690,19150,8350,6450.0,53930,100300
149,2020-08-10,9790,25480,44140,26300,26650,9215,40950,13510,81110,58690,19400,8500,6560.0,53280,100000
150,2020-08-11,10450,25630,44210,26570,26300,9148,41400,13480,81110,58550,19450,8560,6730.0,53410,99500
151,2020-08-12,10450,25730,43900,27060,26400,9281,42130,13510,81900,58550,19650,8610,6890.0,53410,100500
152,2020-08-13,10490,26510,44060,27370,26850,9482,42220,13620,82470,58550,19800,8690,6920.0,53990,101600
153,2020-08-14,10410,26790,43240,26920,26850,9529,42220,13400,82670,58770,19800,8780,6770.0,53340,100600
154,2020-08-17,10610,26510,42920,26710,26500,9405,41850,13510,82890,58770,20100,8840,6860.0,53540,100200
